"Sistema","Tipo_de_Tecnologia","Hora","Pronostico_de_Generacion_MWh","Fecha"
"BCA","EOLICA",1,15.941,"01/mar/2020"
"BCA","EOLICA",2,18.205,"01/mar/2020"
"BCA","EOLICA",3,18.339,"01/mar/2020"
"BCA","EOLICA",4,17.773,"01/mar/2020"
"BCA","EOLICA",5,16.874,"01/mar/2020"
"BCA","EOLICA",6,15.905,"01/mar/2020"
"BCA","EOLICA",7,15.167,"01/mar/2020"
"BCA","EOLICA",8,15.403,"01/mar/2020"
"BCA","EOLICA",9,15.31,"01/mar/2020"
"BCA","EOLICA",10,15.503,"01/mar/2020"
"BCA","EOLICA",11,16.027,"01/mar/2020"
"BCA","EOLICA",12,16.633,"01/mar/2020"
"BCA","EOLICA",13,17.085,"01/mar/2020"
"BCA","EOLICA",14,18.124,"01/mar/2020"
"BCA","EOLICA",15,19.174,"01/mar/2020"
"BCA","EOLICA",16,19.65,"01/mar/2020"
"BCA","EOLICA",17,19.536,"01/mar/2020"
"BCA","EOLICA",18,19.756,"01/mar/2020"
"BCA","EOLICA",19,20.401,"01/mar/2020"
"BCA","EOLICA",20,20.791,"01/mar/2020"
"BCA","EOLICA",21,21.425,"01/mar/2020"
"BCA","EOLICA",22,21.845,"01/mar/2020"
"BCA","EOLICA",23,21.018,"01/mar/2020"
"BCA","EOLICA",24,20.519,"01/mar/2020"
"BCA","FOTOVOLTAICA",1,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",2,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",3,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",4,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",5,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",6,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",7,1.67,"01/mar/2020"
"BCA","FOTOVOLTAICA",8,18.49,"01/mar/2020"
"BCA","FOTOVOLTAICA",9,29.37,"01/mar/2020"
"BCA","FOTOVOLTAICA",10,38.13,"01/mar/2020"
"BCA","FOTOVOLTAICA",11,36.03,"01/mar/2020"
"BCA","FOTOVOLTAICA",12,38.05,"01/mar/2020"
"BCA","FOTOVOLTAICA",13,38.51,"01/mar/2020"
"BCA","FOTOVOLTAICA",14,38.7,"01/mar/2020"
"BCA","FOTOVOLTAICA",15,38.03,"01/mar/2020"
"BCA","FOTOVOLTAICA",16,35.4,"01/mar/2020"
"BCA","FOTOVOLTAICA",17,16.42,"01/mar/2020"
"BCA","FOTOVOLTAICA",18,0.77,"01/mar/2020"
"BCA","FOTOVOLTAICA",19,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",20,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",21,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",22,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",23,0,"01/mar/2020"
"BCA","FOTOVOLTAICA",24,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",1,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",2,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",3,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",4,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",5,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",6,0,"01/mar/2020"
"BCS","FOTOVOLTAICA",7,0.011,"01/mar/2020"
"BCS","FOTOVOLTAICA",8,6.628,"01/mar/2020"
"BCS","FOTOVOLTAICA",9,25.367,"01/mar/2020"
"BCS","FOTOVOLTAICA",10,37.01,"01/mar/2020"
"BCS","FOTOVOLTAICA",11,43.203,"01/mar/2020"
"BCS","FOTOVOLTAICA",12,44.192,"01/mar/2020"
"BCS","FOTOVOLTAICA",13,45.182,"01/mar/2020"
"BCS","FOTOVOLTAICA",14,45.165,"01/mar/2020"
"BCS","FOTOVOLTAICA",15,44.11,"01/mar/2020"
"BCS","FOTOVOLTAICA",16,36.095,"01/mar/2020"
"BCS","FOTOVOLTAICA",17,29.422,"01/mar/2020"
"BCS","FOTOVOLTAICA",18,10.69,"01/mar/2020"
