Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 10/jun/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 10/jun/2019 08:00:05 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.3950,
BCA,EOLICA,2,             0.3950,
BCA,EOLICA,3,             0.3950,
BCA,EOLICA,4,             0.3950,
BCA,EOLICA,5,             0.0000,
BCA,EOLICA,6,             0.0000,
BCA,EOLICA,7,             0.0000,
BCA,EOLICA,8,             0.9050,
BCA,EOLICA,9,             0.9050,
BCA,EOLICA,10,             0.9050,
BCA,EOLICA,11,             1.6750,
BCA,EOLICA,12,             1.6750,
BCA,EOLICA,13,             1.6750,
BCA,EOLICA,14,             1.6750,
BCA,EOLICA,15,             1.6750,
BCA,EOLICA,16,             1.6750,
BCA,EOLICA,17,             2.7500,
BCA,EOLICA,18,             2.7500,
BCA,EOLICA,19,             2.7500,
BCA,EOLICA,20,             2.7500,
BCA,EOLICA,21,             2.7500,
BCA,EOLICA,22,             2.7500,
BCA,EOLICA,23,             1.6750,
BCA,EOLICA,24,             1.6750,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             1.7390,
BCA,FOTOVOLTAICA,7,            16.9650,
BCA,FOTOVOLTAICA,8,            36.1380,
BCA,FOTOVOLTAICA,9,            41.4000,
BCA,FOTOVOLTAICA,10,            41.6900,
BCA,FOTOVOLTAICA,11,            41.7600,
BCA,FOTOVOLTAICA,12,            41.7400,
BCA,FOTOVOLTAICA,13,            41.8300,
BCA,FOTOVOLTAICA,14,            41.9200,
BCA,FOTOVOLTAICA,15,            41.6700,
BCA,FOTOVOLTAICA,16,            39.9900,
BCA,FOTOVOLTAICA,17,            38.2400,
BCA,FOTOVOLTAICA,18,            38.1300,
BCA,FOTOVOLTAICA,19,            23.9290,
BCA,FOTOVOLTAICA,20,             4.2970,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.1470,
BCS,FOTOVOLTAICA,8,             2.9490,
BCS,FOTOVOLTAICA,9,            12.5060,
BCS,FOTOVOLTAICA,10,            27.5160,
BCS,FOTOVOLTAICA,11,            40.2040,
BCS,FOTOVOLTAICA,12,            48.5420,
BCS,FOTOVOLTAICA,13,            53.7560,
BCS,FOTOVOLTAICA,14,            55.1860,
BCS,FOTOVOLTAICA,15,            53.4640,
BCS,FOTOVOLTAICA,16,            46.8660,
BCS,FOTOVOLTAICA,17,            36.8960,
BCS,FOTOVOLTAICA,18,            24.0610,
BCS,FOTOVOLTAICA,19,            12.3770,
BCS,FOTOVOLTAICA,20,             1.2270,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1269.8430,
SIN,EOLICA,2,          1199.2520,
SIN,EOLICA,3,          1135.6310,
SIN,EOLICA,4,          1055.6890,
SIN,EOLICA,5,          1019.7230,
SIN,EOLICA,6,          1008.5110,
SIN,EOLICA,7,          1063.8340,
SIN,EOLICA,8,          1090.9930,
SIN,EOLICA,9,          1113.6890,
SIN,EOLICA,10,          1303.7770,
SIN,EOLICA,11,          1358.6360,
SIN,EOLICA,12,          1510.9000,
SIN,EOLICA,13,          1766.7580,
SIN,EOLICA,14,          1908.8690,
SIN,EOLICA,15,          1947.0390,
SIN,EOLICA,16,          1983.4760,
SIN,EOLICA,17,          2012.6760,
SIN,EOLICA,18,          1977.5860,
SIN,EOLICA,19,          1889.2760,
SIN,EOLICA,20,          1855.7370,
SIN,EOLICA,21,          1805.4180,
SIN,EOLICA,22,          1811.9720,
SIN,EOLICA,23,          1800.9090,
SIN,EOLICA,24,          1820.1210,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
