Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 22/ago/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 22/ago/2019 08:00:10 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.3950,
BCA,EOLICA,2,             0.3950,
BCA,EOLICA,3,             0.3950,
BCA,EOLICA,4,             0.3950,
BCA,EOLICA,5,             0.3950,
BCA,EOLICA,6,             0.3950,
BCA,EOLICA,7,             0.3950,
BCA,EOLICA,8,             0.3950,
BCA,EOLICA,9,             0.0000,
BCA,EOLICA,10,             0.0000,
BCA,EOLICA,11,             0.0000,
BCA,EOLICA,12,             0.0000,
BCA,EOLICA,13,             0.0000,
BCA,EOLICA,14,             0.0000,
BCA,EOLICA,15,             0.3950,
BCA,EOLICA,16,             0.3950,
BCA,EOLICA,17,             0.3950,
BCA,EOLICA,18,             1.6750,
BCA,EOLICA,19,             1.6750,
BCA,EOLICA,20,             1.6750,
BCA,EOLICA,21,             0.3950,
BCA,EOLICA,22,             0.3950,
BCA,EOLICA,23,             0.3950,
BCA,EOLICA,24,             0.0000,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             2.8800,
BCA,FOTOVOLTAICA,8,            20.6200,
BCA,FOTOVOLTAICA,9,            37.9600,
BCA,FOTOVOLTAICA,10,            40.8400,
BCA,FOTOVOLTAICA,11,            40.8000,
BCA,FOTOVOLTAICA,12,            40.8300,
BCA,FOTOVOLTAICA,13,            40.9500,
BCA,FOTOVOLTAICA,14,            41.0100,
BCA,FOTOVOLTAICA,15,            41.0000,
BCA,FOTOVOLTAICA,16,            40.0200,
BCA,FOTOVOLTAICA,17,            38.9000,
BCA,FOTOVOLTAICA,18,            29.3100,
BCA,FOTOVOLTAICA,19,            10.8000,
BCA,FOTOVOLTAICA,20,             0.8000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0400,
BCS,FOTOVOLTAICA,8,             2.1100,
BCS,FOTOVOLTAICA,9,            13.1030,
BCS,FOTOVOLTAICA,10,            28.2400,
BCS,FOTOVOLTAICA,11,            40.5540,
BCS,FOTOVOLTAICA,12,            49.9660,
BCS,FOTOVOLTAICA,13,            54.5020,
BCS,FOTOVOLTAICA,14,            55.1780,
BCS,FOTOVOLTAICA,15,            54.1420,
BCS,FOTOVOLTAICA,16,            50.0710,
BCS,FOTOVOLTAICA,17,            41.0470,
BCS,FOTOVOLTAICA,18,            27.9000,
BCS,FOTOVOLTAICA,19,            13.0000,
BCS,FOTOVOLTAICA,20,             1.4960,
BCS,FOTOVOLTAICA,21,             0.0030,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1683.2320,
SIN,EOLICA,2,          1543.0530,
SIN,EOLICA,3,          1392.3380,
SIN,EOLICA,4,          1260.6650,
SIN,EOLICA,5,          1114.5630,
SIN,EOLICA,6,          1048.3750,
SIN,EOLICA,7,           940.7900,
SIN,EOLICA,8,           884.2370,
SIN,EOLICA,9,           817.2660,
SIN,EOLICA,10,           745.5670,
SIN,EOLICA,11,           720.8710,
SIN,EOLICA,12,           705.3360,
SIN,EOLICA,13,           695.1860,
SIN,EOLICA,14,           700.4230,
SIN,EOLICA,15,           721.9180,
SIN,EOLICA,16,           812.6200,
SIN,EOLICA,17,           908.2570,
SIN,EOLICA,18,          1011.6100,
SIN,EOLICA,19,          1110.0730,
SIN,EOLICA,20,          1210.3160,
SIN,EOLICA,21,          1290.6530,
SIN,EOLICA,22,          1374.3800,
SIN,EOLICA,23,          1390.5780,
SIN,EOLICA,24,          1333.5290,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
