Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 08/sep/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 08/sep/2019 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.9050,
BCA,EOLICA,2,             1.6750,
BCA,EOLICA,3,             1.6750,
BCA,EOLICA,4,             1.6750,
BCA,EOLICA,5,             1.6750,
BCA,EOLICA,6,             1.6750,
BCA,EOLICA,7,             1.6750,
BCA,EOLICA,8,             0.9050,
BCA,EOLICA,9,             0.9050,
BCA,EOLICA,10,             0.9050,
BCA,EOLICA,11,             1.6750,
BCA,EOLICA,12,             1.6750,
BCA,EOLICA,13,             2.7500,
BCA,EOLICA,14,             2.7500,
BCA,EOLICA,15,             2.7500,
BCA,EOLICA,16,             2.7500,
BCA,EOLICA,17,             4.1600,
BCA,EOLICA,18,             2.7500,
BCA,EOLICA,19,             2.7500,
BCA,EOLICA,20,             1.6750,
BCA,EOLICA,21,             1.6750,
BCA,EOLICA,22,             0.9050,
BCA,EOLICA,23,             0.9050,
BCA,EOLICA,24,             0.3950,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             1.7900,
BCA,FOTOVOLTAICA,8,            17.6200,
BCA,FOTOVOLTAICA,9,            34.9600,
BCA,FOTOVOLTAICA,10,            38.2200,
BCA,FOTOVOLTAICA,11,            37.9300,
BCA,FOTOVOLTAICA,12,            37.9000,
BCA,FOTOVOLTAICA,13,            38.2900,
BCA,FOTOVOLTAICA,14,            38.3500,
BCA,FOTOVOLTAICA,15,            38.3100,
BCA,FOTOVOLTAICA,16,            37.2900,
BCA,FOTOVOLTAICA,17,            34.7700,
BCA,FOTOVOLTAICA,18,            22.9400,
BCA,FOTOVOLTAICA,19,             5.8100,
BCA,FOTOVOLTAICA,20,             0.0300,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0400,
BCS,FOTOVOLTAICA,8,             1.8120,
BCS,FOTOVOLTAICA,9,            13.3530,
BCS,FOTOVOLTAICA,10,            30.4260,
BCS,FOTOVOLTAICA,11,            40.5310,
BCS,FOTOVOLTAICA,12,            45.0330,
BCS,FOTOVOLTAICA,13,            48.0400,
BCS,FOTOVOLTAICA,14,            45.0350,
BCS,FOTOVOLTAICA,15,            40.0280,
BCS,FOTOVOLTAICA,16,            35.0140,
BCS,FOTOVOLTAICA,17,            32.0090,
BCS,FOTOVOLTAICA,18,            18.0000,
BCS,FOTOVOLTAICA,19,            13.4000,
BCS,FOTOVOLTAICA,20,             1.4960,
BCS,FOTOVOLTAICA,21,             0.0030,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1739.6800,
SIN,EOLICA,2,          1624.6900,
SIN,EOLICA,3,          1581.5140,
SIN,EOLICA,4,          1505.2260,
SIN,EOLICA,5,          1488.4870,
SIN,EOLICA,6,          1500.5590,
SIN,EOLICA,7,          1525.6490,
SIN,EOLICA,8,          1577.0790,
SIN,EOLICA,9,          1608.2180,
SIN,EOLICA,10,          1689.6280,
SIN,EOLICA,11,          1774.9260,
SIN,EOLICA,12,          1791.6070,
SIN,EOLICA,13,          1841.7370,
SIN,EOLICA,14,          1829.7320,
SIN,EOLICA,15,          1847.4070,
SIN,EOLICA,16,          1784.2500,
SIN,EOLICA,17,          1790.6420,
SIN,EOLICA,18,          1830.6330,
SIN,EOLICA,19,          1824.4350,
SIN,EOLICA,20,          1821.6800,
SIN,EOLICA,21,          1848.2900,
SIN,EOLICA,22,          1810.6020,
SIN,EOLICA,23,          1831.6270,
SIN,EOLICA,24,          1733.7790,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
SIN,FOTOVOLTAICA,7,             2.7860,
SIN,FOTOVOLTAICA,8,           147.0740,
SIN,FOTOVOLTAICA,9,          1043.4650,
SIN,FOTOVOLTAICA,10,          1948.0630,
SIN,FOTOVOLTAICA,11,          2425.5620,
SIN,FOTOVOLTAICA,12,          2608.2780,
SIN,FOTOVOLTAICA,13,          2673.9730,
SIN,FOTOVOLTAICA,14,          2681.7080,
SIN,FOTOVOLTAICA,15,          2645.4980,
SIN,FOTOVOLTAICA,16,          2506.7200,
SIN,FOTOVOLTAICA,17,          2321.4520,
SIN,FOTOVOLTAICA,18,          1960.0780,
SIN,FOTOVOLTAICA,19,          1452.7850,
SIN,FOTOVOLTAICA,20,           728.2090,
SIN,FOTOVOLTAICA,21,            73.5830,
SIN,FOTOVOLTAICA,22,             0.0000,
SIN,FOTOVOLTAICA,23,             0.0000,
SIN,FOTOVOLTAICA,24,             0.0000,


