Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 26/oct/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 26/oct/2019 08:00:03 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.0000,
BCA,EOLICA,2,             0.0000,
BCA,EOLICA,3,             0.0000,
BCA,EOLICA,4,             0.0000,
BCA,EOLICA,5,             0.0000,
BCA,EOLICA,6,             0.0000,
BCA,EOLICA,7,             0.0000,
BCA,EOLICA,8,             0.0000,
BCA,EOLICA,9,             0.0000,
BCA,EOLICA,10,             0.0000,
BCA,EOLICA,11,             0.0000,
BCA,EOLICA,12,             0.3950,
BCA,EOLICA,13,             0.3950,
BCA,EOLICA,14,             0.3950,
BCA,EOLICA,15,             0.3950,
BCA,EOLICA,16,             0.3950,
BCA,EOLICA,17,             0.3950,
BCA,EOLICA,18,             0.0000,
BCA,EOLICA,19,             0.0000,
BCA,EOLICA,20,             0.0000,
BCA,EOLICA,21,             0.0000,
BCA,EOLICA,22,             0.0000,
BCA,EOLICA,23,             0.0000,
BCA,EOLICA,24,             0.0000,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             0.0700,
BCA,FOTOVOLTAICA,8,             9.1400,
BCA,FOTOVOLTAICA,9,            31.2800,
BCA,FOTOVOLTAICA,10,            41.4000,
BCA,FOTOVOLTAICA,11,            41.4600,
BCA,FOTOVOLTAICA,12,            41.4400,
BCA,FOTOVOLTAICA,13,            41.4200,
BCA,FOTOVOLTAICA,14,            41.3800,
BCA,FOTOVOLTAICA,15,            41.3100,
BCA,FOTOVOLTAICA,16,            41.2100,
BCA,FOTOVOLTAICA,17,            29.5900,
BCA,FOTOVOLTAICA,18,             7.5100,
BCA,FOTOVOLTAICA,19,             0.1200,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0000,
BCS,FOTOVOLTAICA,8,             0.9810,
BCS,FOTOVOLTAICA,9,            14.6640,
BCS,FOTOVOLTAICA,10,            32.1510,
BCS,FOTOVOLTAICA,11,            44.9860,
BCS,FOTOVOLTAICA,12,            52.6400,
BCS,FOTOVOLTAICA,13,            54.8960,
BCS,FOTOVOLTAICA,14,            55.1090,
BCS,FOTOVOLTAICA,15,            53.5850,
BCS,FOTOVOLTAICA,16,            48.4930,
BCS,FOTOVOLTAICA,17,            35.7120,
BCS,FOTOVOLTAICA,18,            18.8460,
BCS,FOTOVOLTAICA,19,             2.6860,
BCS,FOTOVOLTAICA,20,             0.0000,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1667.6340,
SIN,EOLICA,2,          1692.2600,
SIN,EOLICA,3,          1754.0390,
SIN,EOLICA,4,          1830.6420,
SIN,EOLICA,5,          1883.8970,
SIN,EOLICA,6,          1885.1540,
SIN,EOLICA,7,          2001.8030,
SIN,EOLICA,8,          1977.9350,
SIN,EOLICA,9,          1974.5340,
SIN,EOLICA,10,          2057.8240,
SIN,EOLICA,11,          2066.5120,
SIN,EOLICA,12,          2110.7070,
SIN,EOLICA,13,          2090.3830,
SIN,EOLICA,14,          2127.0870,
SIN,EOLICA,15,          2111.1380,
SIN,EOLICA,16,          2090.1560,
SIN,EOLICA,17,          2096.8170,
SIN,EOLICA,18,          2089.9020,
SIN,EOLICA,19,          2123.2140,
SIN,EOLICA,20,          2130.6450,
SIN,EOLICA,21,          2255.6330,
SIN,EOLICA,22,          2312.2550,
SIN,EOLICA,23,          2359.6820,
SIN,EOLICA,24,          2280.8450,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
SIN,FOTOVOLTAICA,7,             0.1450,
SIN,FOTOVOLTAICA,8,            23.8700,
SIN,FOTOVOLTAICA,9,           582.1910,
SIN,FOTOVOLTAICA,10,          1920.8600,
SIN,FOTOVOLTAICA,11,          2788.5590,
SIN,FOTOVOLTAICA,12,          3075.5920,
SIN,FOTOVOLTAICA,13,          3072.2410,
SIN,FOTOVOLTAICA,14,          3073.0210,
SIN,FOTOVOLTAICA,15,          3041.4190,
SIN,FOTOVOLTAICA,16,          2896.0990,
SIN,FOTOVOLTAICA,17,          2727.2880,
SIN,FOTOVOLTAICA,18,          2238.5750,
SIN,FOTOVOLTAICA,19,           956.0350,
SIN,FOTOVOLTAICA,20,            78.5530,
SIN,FOTOVOLTAICA,21,             0.0000,
SIN,FOTOVOLTAICA,22,             0.0000,
SIN,FOTOVOLTAICA,23,             0.0000,
SIN,FOTOVOLTAICA,24,             0.0000,


