Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 27/nov/2019
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 27/nov/2019 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             2.7500,
BCA,EOLICA,2,             1.6750,
BCA,EOLICA,3,             1.6750,
BCA,EOLICA,4,             1.6750,
BCA,EOLICA,5,             0.3950,
BCA,EOLICA,6,             0.3950,
BCA,EOLICA,7,             0.3950,
BCA,EOLICA,8,             0.3950,
BCA,EOLICA,9,             0.3950,
BCA,EOLICA,10,             0.3950,
BCA,EOLICA,11,             1.6750,
BCA,EOLICA,12,             1.6750,
BCA,EOLICA,13,             1.6750,
BCA,EOLICA,14,             5.8750,
BCA,EOLICA,15,             5.8750,
BCA,EOLICA,16,             5.8750,
BCA,EOLICA,17,             5.8750,
BCA,EOLICA,18,             5.8750,
BCA,EOLICA,19,             5.8750,
BCA,EOLICA,20,             5.8750,
BCA,EOLICA,21,             5.8750,
BCA,EOLICA,22,             5.8750,
BCA,EOLICA,23,             7.6500,
BCA,EOLICA,24,             7.6500,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             1.6600,
BCA,FOTOVOLTAICA,8,            14.7700,
BCA,FOTOVOLTAICA,9,            32.5600,
BCA,FOTOVOLTAICA,10,            38.2400,
BCA,FOTOVOLTAICA,11,            36.4700,
BCA,FOTOVOLTAICA,12,            35.6700,
BCA,FOTOVOLTAICA,13,            36.6300,
BCA,FOTOVOLTAICA,14,            37.9800,
BCA,FOTOVOLTAICA,15,            33.5800,
BCA,FOTOVOLTAICA,16,            17.3300,
BCA,FOTOVOLTAICA,17,             2.9500,
BCA,FOTOVOLTAICA,18,             0.2700,
BCA,FOTOVOLTAICA,19,             0.0300,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.3620,
BCS,FOTOVOLTAICA,8,             9.8300,
BCS,FOTOVOLTAICA,9,            14.0070,
BCS,FOTOVOLTAICA,10,            17.0100,
BCS,FOTOVOLTAICA,11,            20.0270,
BCS,FOTOVOLTAICA,12,            31.0290,
BCS,FOTOVOLTAICA,13,            24.0360,
BCS,FOTOVOLTAICA,14,            20.0310,
BCS,FOTOVOLTAICA,15,            17.0250,
BCS,FOTOVOLTAICA,16,            14.0120,
BCS,FOTOVOLTAICA,17,            11.0080,
BCS,FOTOVOLTAICA,18,             1.0820,
BCS,FOTOVOLTAICA,19,             0.0000,
BCS,FOTOVOLTAICA,20,             0.0000,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,           742.3140,
SIN,EOLICA,2,           629.0550,
SIN,EOLICA,3,           558.4990,
SIN,EOLICA,4,           505.7350,
SIN,EOLICA,5,           468.7330,
SIN,EOLICA,6,           445.5780,
SIN,EOLICA,7,           417.3980,
