Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 12/ene/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 12/ene/2020 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.4310,
BCA,EOLICA,2,             0.4020,
BCA,EOLICA,3,             0.4020,
BCA,EOLICA,4,             0.0030,
BCA,EOLICA,5,             0.0120,
BCA,EOLICA,6,             0.0190,
BCA,EOLICA,7,             0.0080,
BCA,EOLICA,8,             0.3960,
BCA,EOLICA,9,             0.3960,
BCA,EOLICA,10,             0.3960,
BCA,EOLICA,11,             0.3980,
BCA,EOLICA,12,             0.4020,
BCA,EOLICA,13,             0.4050,
BCA,EOLICA,14,             0.0110,
BCA,EOLICA,15,             0.0120,
BCA,EOLICA,16,             0.0090,
BCA,EOLICA,17,             0.4030,
BCA,EOLICA,18,             0.4040,
BCA,EOLICA,19,             0.4030,
BCA,EOLICA,20,             0.4100,
BCA,EOLICA,21,             0.4300,
BCA,EOLICA,22,             0.4520,
BCA,EOLICA,23,             0.4950,
BCA,EOLICA,24,             0.4690,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             0.7400,
BCA,FOTOVOLTAICA,8,            12.5700,
BCA,FOTOVOLTAICA,9,            35.0400,
BCA,FOTOVOLTAICA,10,            36.0800,
BCA,FOTOVOLTAICA,11,            34.2300,
BCA,FOTOVOLTAICA,12,            32.3100,
BCA,FOTOVOLTAICA,13,            32.4100,
BCA,FOTOVOLTAICA,14,            34.0200,
BCA,FOTOVOLTAICA,15,            35.0800,
BCA,FOTOVOLTAICA,16,            21.5700,
BCA,FOTOVOLTAICA,17,             1.2500,
BCA,FOTOVOLTAICA,18,             0.0000,
BCA,FOTOVOLTAICA,19,             0.0000,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
