Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 12/feb/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 12/feb/2020 08:00:05 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             0.8340,
BCA,EOLICA,2,             2.6230,
BCA,EOLICA,3,             8.7150,
BCA,EOLICA,4,             8.8230,
BCA,EOLICA,5,             8.9210,
BCA,EOLICA,6,             5.4970,
BCA,EOLICA,7,             5.4910,
BCA,EOLICA,8,             5.3880,
BCA,EOLICA,9,             5.2230,
BCA,EOLICA,10,             5.0890,
BCA,EOLICA,11,             5.0840,
BCA,EOLICA,12,            10.8560,
BCA,EOLICA,13,            10.9890,
BCA,EOLICA,14,            11.0420,
BCA,EOLICA,15,            10.2580,
BCA,EOLICA,16,            10.1530,
BCA,EOLICA,17,            10.0640,
BCA,EOLICA,18,             8.5810,
BCA,EOLICA,19,             8.5350,
BCA,EOLICA,20,             8.4870,
BCA,EOLICA,21,             2.4540,
BCA,EOLICA,22,             2.3820,
BCA,EOLICA,23,             4.8350,
BCA,EOLICA,24,             4.8150,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             2.0300,
BCA,FOTOVOLTAICA,8,            20.4400,
BCA,FOTOVOLTAICA,9,            34.4500,
BCA,FOTOVOLTAICA,10,            33.5400,
BCA,FOTOVOLTAICA,11,            34.6800,
BCA,FOTOVOLTAICA,12,            34.0300,
BCA,FOTOVOLTAICA,13,            33.8000,
BCA,FOTOVOLTAICA,14,            33.5600,
BCA,FOTOVOLTAICA,15,            33.9800,
BCA,FOTOVOLTAICA,16,            34.7000,
BCA,FOTOVOLTAICA,17,            12.0500,
BCA,FOTOVOLTAICA,18,             1.4800,
BCA,FOTOVOLTAICA,19,             0.0000,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0000,
BCS,FOTOVOLTAICA,8,             2.8710,
BCS,FOTOVOLTAICA,9,            20.9500,
BCS,FOTOVOLTAICA,10,            37.1170,
BCS,FOTOVOLTAICA,11,            48.7080,
BCS,FOTOVOLTAICA,12,            53.5180,
BCS,FOTOVOLTAICA,13,            55.0030,
BCS,FOTOVOLTAICA,14,            54.0760,
BCS,FOTOVOLTAICA,15,            49.9850,
BCS,FOTOVOLTAICA,16,            39.9380,
BCS,FOTOVOLTAICA,17,            24.5080,
BCS,FOTOVOLTAICA,18,             4.9840,
BCS,FOTOVOLTAICA,19,             0.0000,
BCS,FOTOVOLTAICA,20,             0.0000,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1330.0350,
SIN,EOLICA,2,          1331.6920,
SIN,EOLICA,3,          1350.3610,
SIN,EOLICA,4,          1309.1820,
SIN,EOLICA,5,          1235.4820,
SIN,EOLICA,6,          1141.9250,
SIN,EOLICA,7,           980.1260,
SIN,EOLICA,8,           855.4000,
SIN,EOLICA,9,           808.5840,
SIN,EOLICA,10,           889.4400,
SIN,EOLICA,11,          1041.1330,
SIN,EOLICA,12,          1299.7330,
SIN,EOLICA,13,          1575.8070,
SIN,EOLICA,14,          1779.8150,
SIN,EOLICA,15,          1820.3880,
SIN,EOLICA,16,          1802.8050,
SIN,EOLICA,17,          1773.9540,
SIN,EOLICA,18,          1835.0170,
SIN,EOLICA,19,          1819.3140,
SIN,EOLICA,20,          1695.7440,
SIN,EOLICA,21,          1544.1770,
SIN,EOLICA,22,          1434.3100,
SIN,EOLICA,23,          1392.0080,
SIN,EOLICA,24,          1359.6550,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
SIN,FOTOVOLTAICA,7,             0.5670,
SIN,FOTOVOLTAICA,8,            91.4190,
SIN,FOTOVOLTAICA,9,          1048.0910,
SIN,FOTOVOLTAICA,10,          2370.0510,
SIN,FOTOVOLTAICA,11,          3348.9960,
SIN,FOTOVOLTAICA,12,          3513.2930,
SIN,FOTOVOLTAICA,13,          3598.8510,
SIN,FOTOVOLTAICA,14,          3613.0960,
SIN,FOTOVOLTAICA,15,          3563.1840,
SIN,FOTOVOLTAICA,16,          3338.2730,
SIN,FOTOVOLTAICA,17,          2938.8630,
SIN,FOTOVOLTAICA,18,          1883.4130,
SIN,FOTOVOLTAICA,19,           248.3100,
SIN,FOTOVOLTAICA,20,            15.3490,
SIN,FOTOVOLTAICA,21,             0.0000,
SIN,FOTOVOLTAICA,22,             0.0000,
SIN,FOTOVOLTAICA,23,             0.0000,
SIN,FOTOVOLTAICA,24,             0.0000,


