Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 04/mar/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 04/mar/2020 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             1.5800,
BCA,EOLICA,2,             1.5580,
BCA,EOLICA,3,             1.5120,
BCA,EOLICA,4,             1.4420,
BCA,EOLICA,5,             1.3710,
BCA,EOLICA,6,             0.3200,
BCA,EOLICA,7,             0.0010,
BCA,EOLICA,8,             0.0010,
BCA,EOLICA,9,             0.0010,
BCA,EOLICA,10,             0.3170,
BCA,EOLICA,11,             0.3170,
BCA,EOLICA,12,             1.3420,
BCA,EOLICA,13,             1.3480,
BCA,EOLICA,14,             1.3520,
BCA,EOLICA,15,             1.3480,
BCA,EOLICA,16,             0.3190,
BCA,EOLICA,17,             0.0010,
BCA,EOLICA,18,             0.0010,
BCA,EOLICA,19,             0.3350,
BCA,EOLICA,20,             0.3620,
BCA,EOLICA,21,             0.3430,
BCA,EOLICA,22,             0.3170,
BCA,EOLICA,23,             0.3200,
BCA,EOLICA,24,             0.0060,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             3.5900,
BCA,FOTOVOLTAICA,8,            20.2800,
BCA,FOTOVOLTAICA,9,            29.0200,
BCA,FOTOVOLTAICA,10,            34.7000,
BCA,FOTOVOLTAICA,11,            35.7300,
BCA,FOTOVOLTAICA,12,            33.2000,
BCA,FOTOVOLTAICA,13,            35.9300,
BCA,FOTOVOLTAICA,14,            37.5300,
BCA,FOTOVOLTAICA,15,            34.4100,
BCA,FOTOVOLTAICA,16,            28.1400,
BCA,FOTOVOLTAICA,17,            11.1200,
BCA,FOTOVOLTAICA,18,             0.3700,
BCA,FOTOVOLTAICA,19,             0.0000,
BCA,FOTOVOLTAICA,20,             0.0000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0330,
BCS,FOTOVOLTAICA,8,             8.1180,
BCS,FOTOVOLTAICA,9,            26.9390,
BCS,FOTOVOLTAICA,10,            43.2250,
BCS,FOTOVOLTAICA,11,            53.0740,
BCS,FOTOVOLTAICA,12,            55.1920,
BCS,FOTOVOLTAICA,13,            55.1820,
BCS,FOTOVOLTAICA,14,            55.1650,
