Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 24/abr/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 24/abr/2020 08:00:10 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             2.5330,
BCA,EOLICA,2,             1.8610,
BCA,EOLICA,3,             1.1150,
BCA,EOLICA,4,             0.8960,
BCA,EOLICA,5,             0.7000,
BCA,EOLICA,6,             0.5280,
BCA,EOLICA,7,             0.3750,
BCA,EOLICA,8,             0.2480,
BCA,EOLICA,9,             1.6640,
BCA,EOLICA,10,             1.9610,
BCA,EOLICA,11,             2.2340,
BCA,EOLICA,12,             7.1090,
BCA,EOLICA,13,             7.0180,
BCA,EOLICA,14,             6.8590,
BCA,EOLICA,15,             8.6060,
BCA,EOLICA,16,             8.8710,
BCA,EOLICA,17,             9.2110,
BCA,EOLICA,18,             4.9560,
BCA,EOLICA,19,             5.1270,
BCA,EOLICA,20,             5.2680,
BCA,EOLICA,21,             2.1380,
BCA,EOLICA,22,             2.3910,
BCA,EOLICA,23,             2.6130,
BCA,EOLICA,24,             2.7360,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             8.7500,
BCA,FOTOVOLTAICA,8,            31.9100,
BCA,FOTOVOLTAICA,9,            44.1100,
BCA,FOTOVOLTAICA,10,            44.1200,
BCA,FOTOVOLTAICA,11,            44.0700,
BCA,FOTOVOLTAICA,12,            44.0100,
BCA,FOTOVOLTAICA,13,            43.8900,
BCA,FOTOVOLTAICA,14,            43.7100,
BCA,FOTOVOLTAICA,15,            43.5500,
BCA,FOTOVOLTAICA,16,            43.3500,
BCA,FOTOVOLTAICA,17,            42.8200,
BCA,FOTOVOLTAICA,18,            38.2000,
BCA,FOTOVOLTAICA,19,            18.4800,
BCA,FOTOVOLTAICA,20,             1.4800,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0010,
BCS,FOTOVOLTAICA,8,             2.3540,
BCS,FOTOVOLTAICA,9,            16.4720,
BCS,FOTOVOLTAICA,10,            34.0030,
BCS,FOTOVOLTAICA,11,            48.2110,
BCS,FOTOVOLTAICA,12,            53.8350,
BCS,FOTOVOLTAICA,13,            55.1190,
BCS,FOTOVOLTAICA,14,            55.0950,
BCS,FOTOVOLTAICA,15,            55.0480,
BCS,FOTOVOLTAICA,16,            53.1030,
BCS,FOTOVOLTAICA,17,            43.6680,
BCS,FOTOVOLTAICA,18,            28.4890,
BCS,FOTOVOLTAICA,19,            11.1900,
BCS,FOTOVOLTAICA,20,             0.9470,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
