Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 14/may/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 14/may/2020 08:00:12 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,             4.1600,
BCA,EOLICA,2,             4.1600,
BCA,EOLICA,3,             4.1600,
BCA,EOLICA,4,             4.1600,
BCA,EOLICA,5,             4.1600,
BCA,EOLICA,6,             4.1600,
BCA,EOLICA,7,             4.1600,
BCA,EOLICA,8,             4.1600,
BCA,EOLICA,9,             4.1600,
BCA,EOLICA,10,             4.1600,
BCA,EOLICA,11,             7.6500,
BCA,EOLICA,12,             9.8150,
BCA,EOLICA,13,             9.8150,
BCA,EOLICA,14,             9.8150,
BCA,EOLICA,15,             9.9800,
BCA,EOLICA,16,             9.9800,
BCA,EOLICA,17,             9.9800,
BCA,EOLICA,18,             9.9800,
BCA,EOLICA,19,             9.8150,
BCA,EOLICA,20,             7.6500,
BCA,EOLICA,21,             4.1600,
BCA,EOLICA,22,             4.1600,
BCA,EOLICA,23,             1.6750,
BCA,EOLICA,24,             1.6750,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.0000,
BCA,FOTOVOLTAICA,7,             2.6700,
BCA,FOTOVOLTAICA,8,            16.2600,
BCA,FOTOVOLTAICA,9,            23.9900,
BCA,FOTOVOLTAICA,10,            26.3800,
BCA,FOTOVOLTAICA,11,            26.3900,
BCA,FOTOVOLTAICA,12,            27.2500,
BCA,FOTOVOLTAICA,13,            27.0900,
BCA,FOTOVOLTAICA,14,            25.5200,
BCA,FOTOVOLTAICA,15,            25.3600,
BCA,FOTOVOLTAICA,16,            23.8900,
BCA,FOTOVOLTAICA,17,            22.4700,
BCA,FOTOVOLTAICA,18,            18.4600,
BCA,FOTOVOLTAICA,19,             6.8300,
BCA,FOTOVOLTAICA,20,             0.3500,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.0820,
BCS,FOTOVOLTAICA,8,             3.5420,
BCS,FOTOVOLTAICA,9,            17.0990,
BCS,FOTOVOLTAICA,10,            34.4690,
BCS,FOTOVOLTAICA,11,            47.6730,
BCS,FOTOVOLTAICA,12,            53.6040,
BCS,FOTOVOLTAICA,13,            55.3530,
BCS,FOTOVOLTAICA,14,            55.3260,
BCS,FOTOVOLTAICA,15,            54.6360,
BCS,FOTOVOLTAICA,16,            51.0750,
BCS,FOTOVOLTAICA,17,            40.7940,
BCS,FOTOVOLTAICA,18,            27.3750,
BCS,FOTOVOLTAICA,19,            11.0060,
BCS,FOTOVOLTAICA,20,             1.0390,
BCS,FOTOVOLTAICA,21,             0.0000,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
BCS,FOTOVOLTAICA,24,             0.0000,
SIN,EOLICA,1,          1828.5760,
SIN,EOLICA,2,          1691.3150,
SIN,EOLICA,3,          1613.4590,
SIN,EOLICA,4,          1533.7190,
SIN,EOLICA,5,          1372.7110,
SIN,EOLICA,6,          1282.2560,
SIN,EOLICA,7,          1230.1740,
SIN,EOLICA,8,          1218.1770,
SIN,EOLICA,9,          1228.2910,
SIN,EOLICA,10,          1278.1690,
SIN,EOLICA,11,          1340.3580,
SIN,EOLICA,12,          1402.3550,
SIN,EOLICA,13,          1452.8910,
SIN,EOLICA,14,          1500.6970,
SIN,EOLICA,15,          1517.0920,
SIN,EOLICA,16,          1540.9360,
SIN,EOLICA,17,          1603.5790,
SIN,EOLICA,18,          1655.9080,
SIN,EOLICA,19,          1777.8920,
SIN,EOLICA,20,          1839.0290,
SIN,EOLICA,21,          1749.3660,
SIN,EOLICA,22,          1769.4340,
SIN,EOLICA,23,          1781.7480,
SIN,EOLICA,24,          1766.5430,
SIN,FOTOVOLTAICA,1,             0.0000,
SIN,FOTOVOLTAICA,2,             0.0000,
SIN,FOTOVOLTAICA,3,             0.0000,
SIN,FOTOVOLTAICA,4,             0.0000,
SIN,FOTOVOLTAICA,5,             0.0000,
SIN,FOTOVOLTAICA,6,             0.0000,
SIN,FOTOVOLTAICA,7,             1.7390,
SIN,FOTOVOLTAICA,8,           240.3720,
SIN,FOTOVOLTAICA,9,          1528.5200,
SIN,FOTOVOLTAICA,10,          2699.2810,
SIN,FOTOVOLTAICA,11,          3113.8520,
SIN,FOTOVOLTAICA,12,          3229.0740,
SIN,FOTOVOLTAICA,13,          3269.2960,
SIN,FOTOVOLTAICA,14,          3283.1420,
SIN,FOTOVOLTAICA,15,          3256.5420,
SIN,FOTOVOLTAICA,16,          3183.5410,
SIN,FOTOVOLTAICA,17,          3083.1610,
SIN,FOTOVOLTAICA,18,          2861.1990,
SIN,FOTOVOLTAICA,19,          2386.4910,
SIN,FOTOVOLTAICA,20,          1264.4340,
SIN,FOTOVOLTAICA,21,           153.7700,
SIN,FOTOVOLTAICA,22,             2.3800,
SIN,FOTOVOLTAICA,23,             0.0000,
SIN,FOTOVOLTAICA,24,             0.0000,


