Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 13/jun/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 13/jun/2020 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,            14.3380,
BCA,EOLICA,2,            13.1990,
BCA,EOLICA,3,            12.3280,
BCA,EOLICA,4,            10.5010,
BCA,EOLICA,5,            10.6860,
BCA,EOLICA,6,             8.6710,
BCA,EOLICA,7,             6.6430,
BCA,EOLICA,8,             4.8880,
BCA,EOLICA,9,             3.6660,
BCA,EOLICA,10,             3.2240,
BCA,EOLICA,11,             3.5490,
BCA,EOLICA,12,             3.3060,
BCA,EOLICA,13,             5.5420,
BCA,EOLICA,14,             8.4020,
BCA,EOLICA,15,            12.0760,
BCA,EOLICA,16,            14.6760,
BCA,EOLICA,17,            16.4050,
BCA,EOLICA,18,            17.5370,
BCA,EOLICA,19,            16.1850,
BCA,EOLICA,20,            14.2220,
BCA,EOLICA,21,            10.8260,
BCA,EOLICA,22,            10.2930,
BCA,EOLICA,23,            10.1890,
BCA,EOLICA,24,             9.4930,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.1100,
BCA,FOTOVOLTAICA,7,            10.6700,
BCA,FOTOVOLTAICA,8,            32.2900,
BCA,FOTOVOLTAICA,9,            37.5200,
BCA,FOTOVOLTAICA,10,            38.1800,
BCA,FOTOVOLTAICA,11,            37.8200,
BCA,FOTOVOLTAICA,12,            37.8500,
BCA,FOTOVOLTAICA,13,            36.8000,
BCA,FOTOVOLTAICA,14,            38.2200,
BCA,FOTOVOLTAICA,15,            37.8000,
BCA,FOTOVOLTAICA,16,            38.1700,
BCA,FOTOVOLTAICA,17,            36.6900,
BCA,FOTOVOLTAICA,18,            32.0500,
BCA,FOTOVOLTAICA,19,            19.7100,
BCA,FOTOVOLTAICA,20,             5.8000,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0000,
BCS,FOTOVOLTAICA,7,             0.1690,
BCS,FOTOVOLTAICA,8,             3.5430,
