Centro Nacional de Control de Energia
Pronosticos de Generacion Intermitente
Reporte diario
Fecha: 07/jul/2020
Archivo descargado desde el Sistema de Informacion del Mercado (Area Publica) creado el 07/jul/2020 08:00:04 hrs.
Nota: Los acentos de este reporte se omiten intencionalmente por sistema
Mercado: MDA
Sistema, Tipo de Tecnologia, Hora, Pronostico de Generacion (MWh)
BCA,EOLICA,1,            15.2570,
BCA,EOLICA,2,            15.7130,
BCA,EOLICA,3,            16.0360,
BCA,EOLICA,4,            15.9790,
BCA,EOLICA,5,            15.1430,
BCA,EOLICA,6,            13.3000,
BCA,EOLICA,7,            10.6400,
BCA,EOLICA,8,             8.1850,
BCA,EOLICA,9,             5.7340,
BCA,EOLICA,10,             3.9100,
BCA,EOLICA,11,             6.2690,
BCA,EOLICA,12,             5.5850,
BCA,EOLICA,13,             5.7180,
BCA,EOLICA,14,             9.9300,
BCA,EOLICA,15,            12.9320,
BCA,EOLICA,16,            18.4040,
BCA,EOLICA,17,            25.9270,
BCA,EOLICA,18,            19.9650,
BCA,EOLICA,19,            20.1850,
BCA,EOLICA,20,            20.0480,
BCA,EOLICA,21,            18.2430,
BCA,EOLICA,22,            16.6850,
BCA,EOLICA,23,            13.9460,
BCA,EOLICA,24,            13.2240,
BCA,FOTOVOLTAICA,1,             0.0000,
BCA,FOTOVOLTAICA,2,             0.0000,
BCA,FOTOVOLTAICA,3,             0.0000,
BCA,FOTOVOLTAICA,4,             0.0000,
BCA,FOTOVOLTAICA,5,             0.0000,
BCA,FOTOVOLTAICA,6,             0.5300,
BCA,FOTOVOLTAICA,7,            14.1900,
BCA,FOTOVOLTAICA,8,            36.0000,
BCA,FOTOVOLTAICA,9,            43.5400,
BCA,FOTOVOLTAICA,10,            43.7200,
BCA,FOTOVOLTAICA,11,            43.7800,
BCA,FOTOVOLTAICA,12,            43.7400,
BCA,FOTOVOLTAICA,13,            43.7000,
BCA,FOTOVOLTAICA,14,            43.6500,
BCA,FOTOVOLTAICA,15,            43.6300,
BCA,FOTOVOLTAICA,16,            43.5000,
BCA,FOTOVOLTAICA,17,            43.3300,
BCA,FOTOVOLTAICA,18,            43.0400,
BCA,FOTOVOLTAICA,19,            27.2200,
BCA,FOTOVOLTAICA,20,             4.0700,
BCA,FOTOVOLTAICA,21,             0.0000,
BCA,FOTOVOLTAICA,22,             0.0000,
BCA,FOTOVOLTAICA,23,             0.0000,
BCA,FOTOVOLTAICA,24,             0.0000,
BCS,FOTOVOLTAICA,1,             0.0000,
BCS,FOTOVOLTAICA,2,             0.0000,
BCS,FOTOVOLTAICA,3,             0.0000,
BCS,FOTOVOLTAICA,4,             0.0000,
BCS,FOTOVOLTAICA,5,             0.0000,
BCS,FOTOVOLTAICA,6,             0.0030,
BCS,FOTOVOLTAICA,7,             0.1510,
BCS,FOTOVOLTAICA,8,             2.9960,
BCS,FOTOVOLTAICA,9,            12.1270,
BCS,FOTOVOLTAICA,10,            27.3880,
BCS,FOTOVOLTAICA,11,            39.8460,
BCS,FOTOVOLTAICA,12,            49.3400,
BCS,FOTOVOLTAICA,13,            53.0780,
BCS,FOTOVOLTAICA,14,            53.8380,
BCS,FOTOVOLTAICA,15,            52.9410,
BCS,FOTOVOLTAICA,16,            46.8410,
BCS,FOTOVOLTAICA,17,            41.8480,
BCS,FOTOVOLTAICA,18,            27.8560,
BCS,FOTOVOLTAICA,19,            12.0920,
BCS,FOTOVOLTAICA,20,             1.7530,
BCS,FOTOVOLTAICA,21,             0.0090,
BCS,FOTOVOLTAICA,22,             0.0000,
BCS,FOTOVOLTAICA,23,             0.0000,
